STD_YM,CTPV_CD,CTGG_CD,DAY_CD,INDTY_CGR_NM,CTPV_NM,CTGG_NM,RANK,VST_RAT
201907,11,11710,1,카페/패스트푸드,서울특별시,송파구,2,11.76
201907,11,11710,1,한식,서울특별시,송파구,1,64.58
201907,11,11710,2,분식,서울특별시,송파구,4,7.43
201907,11,11710,2,일식,서울특별시,송파구,5,5.45
201907,11,11710,2,중식,서울특별시,송파구,3,11.39
201907,11,11710,2,카페/패스트푸드,서울특별시,송파구,2,14.03
201907,11,11710,2,한식,서울특별시,송파구,1,55.28
201907,11,11710,3,분식,서울특별시,송파구,4,5.03
201907,11,11710,3,일식,서울특별시,송파구,5,3.48
201907,11,11710,3,중식,서울특별시,송파구,2,15.09
201907,11,11710,3,카페/패스트푸드,서울특별시,송파구,3,13.73
201907,11,11710,3,한식,서울특별시,송파구,1,56.87
201907,11,11710,4,분식,서울특별시,송파구,4,5.03
201907,11,11710,4,일식,서울특별시,송파구,5,3.06
201907,11,11710,4,중식,서울특별시,송파구,3,12.91
201907,11,11710,4,카페/패스트푸드,서울특별시,송파구,2,14.22
201907,11,11710,4,한식,서울특별시,송파구,1,61.27
201907,11,11710,5,동남아,서울특별시,송파구,5,4.38
201907,11,11710,5,분식,서울특별시,송파구,4,8.13
201907,11,11710,5,중식,서울특별시,송파구,3,12.19
201907,11,11710,5,카페/패스트푸드,서울특별시,송파구,2,19.69
201907,11,11710,5,한식,서울특별시,송파구,1,48.75
201907,11,11710,6,한식,서울특별시,송파구,1,100
201907,11,11710,7,분식,서울특별시,송파구,1,75
201907,11,11710,7,한식,서울특별시,송파구,2,25
201907,11,11740,1,분식,서울특별시,강동구,4,3.15
201907,11,11740,1,양식,서울특별시,강동구,5,1.05
201907,11,11740,1,중식,서울특별시,강동구,3,11.19
201907,11,11740,1,카페/패스트푸드,서울특별시,강동구,2,12.94
201907,11,11740,1,한식,서울특별시,강동구,1,71.33
201907,11,11740,2,분식,서울특별시,강동구,4,7.43
201907,11,11740,2,양식,서울특별시,강동구,5,5.88
201907,11,11740,2,중식,서울특별시,강동구,3,10.84
201907,11,11740,2,카페/패스트푸드,서울특별시,강동구,2,16.41
201907,11,11740,2,한식,서울특별시,강동구,1,57.89
201907,11,11740,3,분식,서울특별시,강동구,3,5.19
201907,11,11740,3,양식,서울특별시,강동구,5,3.9
201907,11,11740,3,중식,서울특별시,강동구,4,4.55
201907,11,11740,3,카페/패스트푸드,서울특별시,강동구,2,17.53
201907,11,11740,3,한식,서울특별시,강동구,1,68.18
201907,11,11740,4,분식,서울특별시,강동구,4,6.25
201907,11,11740,4,양식,서울특별시,강동구,3,6.7
201907,11,11740,4,중식,서울특별시,강동구,5,4.46
201907,11,11740,4,카페/패스트푸드,서울특별시,강동구,2,12.95
201907,11,11740,4,한식,서울특별시,강동구,1,69.2
201907,11,11740,5,분식,서울특별시,강동구,4,6.19
201907,11,11740,5,일식,서울특별시,강동구,5,2.06
201907,11,11740,5,중식,서울특별시,강동구,3,7.73
201907,11,11740,5,카페/패스트푸드,서울특별시,강동구,2,15.46
201907,11,11740,5,한식,서울특별시,강동구,1,68.04
201907,11,11740,6,일식,서울특별시,강동구,1,33.33
201907,11,11740,6,카페/패스트푸드,서울특별시,강동구,2,33.33
201907,11,11740,6,한식,서울특별시,강동구,3,33.33
